12_data_name,db_name
Bolivia,Bolivia (Plurinational State of)
Brunei,Brunei Darussalam
Cape Verde,Cabo Verde
Cocos [Keeling] Islands,Cocos (Keeling) Islands
Congo [Republic],Congo
Congo [DRC],"Congo, Democratic Republic of the"
Czech Republic,Czechia
Swaziland,Eswatini
Falkland Islands [Islas Malvinas],Falkland Islands (Malvinas)
Vatican City,Holy See
name,Indonesia
Iran,Iran (Islamic Republic of)
North Korea,Korea (Democratic People's Republic of)
South Korea,"Korea, Republic of"
Laos,Lao People's Democratic Republic
Macau,Macao
Micronesia,Micronesia (Federated States of)
Moldova,"Moldova, Republic of"
Myanmar [Burma],Myanmar
Macedonia [FYROM],North Macedonia
Palestinian Territories,"Palestine, State of"
Pitcairn Islands,Pitcairn
Russia,Russian Federation
Saint Helena,"Saint Helena, Ascension and Tristan da Cunha"
São Tomé and Príncipe,Sao Tome and Principe
Syria,Syrian Arab Republic
Taiwan,"Taiwan, Province of China"
Tanzania,"Tanzania, United Republic of"
United Kingdom,United Kingdom of Great Britain and Northern Ireland
United States,United States of America
U.S. Minor Outlying Islands,United States Minor Outlying Islands
Venezuela,Venezuela (Bolivarian Republic of)
Vietnam,Viet Nam
British Virgin Islands,Virgin Islands (British)
U.S. Virgin Islands,Virgin Islands (U.S.)
