code,region,sub_region,intermediate_region
AF/NA,Africa,Northern Africa,
AF/EA,Africa,Sub-Saharan Africa,Eastern Africa
AF/MA,Africa,Sub-Saharan Africa,Middle Africa
AF/SA,Africa,Sub-Saharan Africa,Southern Africa
AF/WA,Africa,Sub-Saharan Africa,Western Africa
AM/CB,Americas,Latin America and the Caribbean,Caribbean
AM/CA,Americas,Latin America and the Caribbean,Central America
AM/SA,Americas,Latin America and the Caribbean,South America
AM/NA,Americas,Northern America,
AN,Antartica,,
AS/CA,Asia,Central Asia,
AS/EA,Asia,Eastern Asia,
AS/SE,Asia,South-eastern Asia,
AS/SA,Asia,Southern Asia,
AS/WA,Asia,Western Asia,
EU/EE,Europe,Eastern Europe,
EU/CI,Europe,Northern Europe,Channel Islands
EU/NE,Europe,Northern Europe,
EU/SE,Europe,Southern Europe,
EU/WE,Europe,Western Europe,
OC/AU,Oceania,Australia and New Zealand,
OC/ME,Oceania,Melanesia,
OC/MI,Oceania,Micronesia,
OC/PO,Oceania,Polynesia,
