code,tz_type,utc_offset,utc_dst_offset,tz_abbreviation,tz_dst_abbreviation,is_active
Africa/Abidjan,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
Africa/Accra,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Addis_Ababa,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Algiers,Canonical,UTC+01:00,UTC+01:00,CET,CET,true
Africa/Asmara,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Asmera,Link,UTC+03:00,UTC+03:00,EAT,EAT,true
Africa/Bamako,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Bangui,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Banjul,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Bissau,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
Africa/Blantyre,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Brazzaville,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Bujumbura,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Cairo,Canonical,UTC+02:00,UTC+03:00,EET,EEST,true
Africa/Casablanca,Canonical,UTC+01:00,UTC+00:00,+01,+00,true
Africa/Ceuta,Canonical,UTC+01:00,UTC+02:00,CET,CEST,true
Africa/Conakry,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Dakar,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Dar_es_Salaam,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Djibouti,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Douala,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/El_Aaiun,Canonical,UTC+01:00,UTC+00:00,+01,+00,true
Africa/Freetown,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Gaborone,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Harare,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Johannesburg,Canonical,UTC+02:00,UTC+02:00,SAST,SAST,true
Africa/Juba,Canonical,UTC+02:00,UTC+02:00,CAT,CAT,true
Africa/Kampala,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Khartoum,Canonical,UTC+02:00,UTC+02:00,CAT,CAT,true
Africa/Kigali,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Kinshasa,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Lagos,Canonical,UTC+01:00,UTC+01:00,WAT,WAT,true
Africa/Libreville,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Lome,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Luanda,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Lubumbashi,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Lusaka,Link,UTC+02:00,UTC+02:00,CAT,CAT,false
Africa/Malabo,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Maputo,Canonical,UTC+02:00,UTC+02:00,CAT,CAT,true
Africa/Maseru,Link,UTC+02:00,UTC+02:00,SAST,SAST,false
Africa/Mbabane,Link,UTC+02:00,UTC+02:00,SAST,SAST,false
Africa/Mogadishu,Link,UTC+03:00,UTC+03:00,EAT,EAT,false
Africa/Monrovia,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
Africa/Nairobi,Canonical,UTC+03:00,UTC+03:00,EAT,EAT,true
Africa/Ndjamena,Canonical,UTC+01:00,UTC+01:00,WAT,WAT,true
Africa/Niamey,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Nouakchott,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Ouagadougou,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Porto-Novo,Link,UTC+01:00,UTC+01:00,WAT,WAT,false
Africa/Sao_Tome,Canonical,UTC+00:00,UTC+00:00,GMT,GMT,true
Africa/Timbuktu,Link,UTC+00:00,UTC+00:00,GMT,GMT,false
Africa/Tripoli,Canonical,UTC+02:00,UTC+02:00,EET,EET,true
Africa/Tunis,Canonical,UTC+01:00,UTC+01:00,CET,CET,true
Africa/Windhoek,Canonical,UTC+02:00,UTC+02:00,CAT,CAT,true
America/Adak,Canonical,UTC−10:00,UTC−09:00,HST,HDT,true
America/Anchorage,Canonical,UTC−09:00,UTC−08:00,AKST,AKDT,true
